rcept_no,discloser,chaebol,industry,own_car,chaebol_peer_car,chaebol_peer_n,industry_peer_car,industry_peer_n,unrelated_car,unrelated_n,surprise_yoy
20250724800202,현대차,Hyundai,Auto,-2.2368,-1.5790503609391702,2,,0,-0.6217566931632821,26,-15.8
20250701800414,현대차,Hyundai,Auto,2.6097,3.232358300966282,2,,0,1.8228052084841733,26,
20250602800450,현대차,Hyundai,Auto,-0.7498,-3.1933754343389333,2,,0,-0.7038276070436061,26,
20250502800359,현대차,Hyundai,Auto,-0.754,-3.7201972545261994,2,,0,-0.040910681797355755,26,
20250424800330,현대차,Hyundai,Auto,-0.4511,-2.218029001301276,2,,0,-0.3753314005528215,26,2.1
20250401800590,현대차,Hyundai,Auto,-0.9131,-0.24174864096346965,2,,0,-0.49037490693308455,26,
20250304800555,현대차,Hyundai,Auto,-1.2466,1.567790074748732,2,,0,-1.0249957983354072,26,
20250203800835,현대차,Hyundai,Auto,0.5776,-3.2679665897871324,2,,0,-0.5447364166407215,26,
20250123800251,현대차,Hyundai,Auto,1.4793,1.8468485931095462,2,,0,-1.0078280885146453,26,-17.2
20250103800472,현대차,Hyundai,Auto,-1.0824,-5.184102554993343,2,,0,0.34473585327707307,26,
20250103800482,현대차,Hyundai,Auto,-1.0824,-5.184102554993343,2,,0,0.34473585327707307,26,
20241202800350,현대차,Hyundai,Auto,-1.0859,1.467466986341448,2,,0,-0.301156219492991,26,
20241101800566,현대차,Hyundai,Auto,-0.1582,1.5080172912702894,2,,0,0.7168191233846143,26,
20241024800183,현대차,Hyundai,Auto,-4.4716,2.4960490471139356,2,,0,0.09316955191408169,26,-6.5
20241002800388,현대차,Hyundai,Auto,-1.6511,-0.15738574943454292,2,,0,-0.291212988356232,26,
20240902800522,현대차,Hyundai,Auto,-3.9684,-2.9701725677896857,2,,0,1.9058183424876571,26,
20240801800343,현대차,Hyundai,Auto,1.5549,0.5002790621074892,2,,0,0.8650790126502723,26,
20240725800395,현대차,Hyundai,Auto,-0.9658,-1.465922649066766,2,,0,1.7570743340702297,26,0.7
20240701800335,현대차,Hyundai,Auto,-3.2828,-4.7789060130114285,2,,0,0.2330835405366283,26,
20240603800300,현대차,Hyundai,Auto,2.9984,0.8640814947972909,2,,0,-0.6237250072641779,26,
20240502800382,현대차,Hyundai,Auto,-0.4844,-1.7111605532300862,2,,0,0.07850276225279205,26,
20240425800264,현대차,Hyundai,Auto,0.7713,0.9703436703907434,2,,0,1.2991135498304929,26,-2.3
20240401801284,현대차,Hyundai,Auto,-2.4053,-4.203797999243032,2,,0,-0.375900517861765,26,
20240304800440,현대차,Hyundai,Auto,0.7884,1.2961180913191548,2,,0,0.10464878022282287,26,
20240201800562,현대차,Hyundai,Auto,5.069,8.569869416559394,2,,0,1.4938287459436812,26,
20240125800240,현대차,Hyundai,Auto,1.9737,3.2159748601156086,2,,0,0.9568663023173329,26,0.2
20240103800631,현대차,Hyundai,Auto,-1.0007,-2.1669852497800886,2,,0,-0.0936110455782769,26,
20240103800612,현대차,Hyundai,Auto,-1.0007,-2.1669852497800886,2,,0,-0.0936110455782769,26,
20231201800628,현대차,Hyundai,Auto,0.3805,-1.0096435190182542,2,,0,-0.32712235990323985,26,
20231101800291,현대차,Hyundai,Auto,-0.6811,0.5792885738418889,2,,0,-1.0546967886116398,26,
20231026800244,현대차,Hyundai,Auto,1.3384,0.9255072010261636,2,,0,-0.0988972134413338,26,146.3
20231004800301,현대차,Hyundai,Auto,2.2519,2.0164144193489952,2,,0,-0.570672926413605,26,
20230901800466,현대차,Hyundai,Auto,-1.19,-0.1487377474933268,2,,0,0.1512599169796799,26,
20230801800267,현대차,Hyundai,Auto,0.4246,-2.2007125209188483,2,,0,1.182759227991975,26,
20230726800212,현대차,Hyundai,Auto,0.7749,-1.1004076559932505,2,,0,2.300554836592899,26,42.2
20230703800298,현대차,Hyundai,Auto,-0.5208,-1.3362116151388426,2,,0,-0.3586534541117636,26,
20230601800273,현대차,Hyundai,Auto,-0.9415,-1.3480349410487782,2,,0,-0.16311023737916258,26,
